1	0	l
2	0	l
3	0	l
4	0	l
5	0	l
q	0	l
w	0	l
e	0	l
r	0	l
t	0	l
a	0	l
s	0	l
d	0	l
f	0	l
g	0	l
z	0	l
x	0	l
c	0	l
v	0	l
b	0	l
6	0	r
7	0	r
8	0	r
9	0	r
0	0	r
y	0	r
u	0	r
i	0	r
o	0	r
p	0	r
h	0	r
j	0	r
k	0	r
l	0	r
;	0	r
n	0	r
m	0	r
,	0	r
.	0	r
/	0	r
[	0	r
'	0	r
io	10.0	r
oi	10.0	r
23	10.0	l
32	10.0	l
kl	10.0	r
lk	10.0	r
ds	10.0	l
sd	10.0	l
ij	10.0	r
ji	10.0	r
ew	10.0	l
we	10.0	l
cx	10.0	l
xc	10.0	l
89	10.0	r
98	10.0	r
34	10.0	l
43	10.0	l
df	10.0	l
fd	10.0	l
er	10.0	l
re	10.0	l
,.	10.0	r
.,	10.0	r
jk	10.0	r
kj	10.0	r
ef	10.0	l
fe	10.0	l
iu	15.0	r
ui	15.0	r
km	15.0	r
mk	15.0	r
dv	15.0	l
vd	15.0	l
cv	15.0	l
vc	15.0	l
3r	15.0	l
r3	15.0	l
jl	17.0	r
lj	17.0	r
jo	17.0	r
oj	17.0	r
ou	17.0	r
uo	17.0	r
fs	17.0	l
sf	17.0	l
rw	17.0	l
wr	17.0	l
fw	17.0	l
wf	17.0	l
kn	20.0	r
nk	20.0	r
in	20.0	r
ni	20.0	r
il	20.0	r
li	20.0	r
sv	20.0	l
vs	20.0	l
lm	20.0	r
ml	20.0	r
2r	20.0	l
r2	20.0	l
8u	20.0	r
u8	20.0	r
24	20.0	l
42	20.0	l
vx	20.0	l
xv	20.0	l
8y	20.0	r
y8	20.0	r
,m	20.0	r
m,	20.0	r
9u	20.0	r
u9	20.0	r
gs	25.0	l
sg	25.0	l
.m	25.0	r
m.	25.0	r
3q	25.0	l
q3	25.0	l
no	25.0	r
on	25.0	r
25	25.0	l
52	25.0	l
tw	25.0	l
wt	25.0	l
gw	27.0	l
wg	27.0	l
ho	27.0	r
oh	27.0	r
ln	27.0	r
nl	27.0	r
;j	27.0	r
j;	27.0	r
;m	27.0	r
m;	27.0	r
ae	27.0	l
ea	27.0	l
et	27.0	l
te	27.0	l
dg	27.0	l
gd	27.0	l
eg	27.0	l
ge	27.0	l
35	27.0	l
53	27.0	l
13	30.0	l
31	30.0	l
eq	30.0	l
qe	30.0	l
jp	30.0	r
pj	30.0	r
9y	30.0	r
y9	30.0	r
14	30.0	l
41	30.0	l
ar	30.0	l
ra	30.0	l
0u	30.0	r
u0	30.0	r
ad	30.0	l
da	30.0	l
af	30.0	l
fa	30.0	l
0j	30.0	r
j0	30.0	r
;n	30.0	r
n;	30.0	r
9h	30.0	r
h9	30.0	r
hl	30.0	r
lh	30.0	r
av	30.0	l
va	30.0	l
mo	30.0	r
om	30.0	r
/m	33.0	r
m/	33.0	r
;i	33.0	r
i;	33.0	r
qr	33.0	l
rq	33.0	l
dz	33.0	l
zd	33.0	l
dw	33.0	l
wd	33.0	l
hi	33.0	r
ih	33.0	r
es	33.0	l
se	33.0	l
fq	33.0	l
qf	33.0	l
8h	33.0	r
h8	33.0	r
78	33.0	r
87	33.0	r
rs	33.0	l
sr	33.0	l
as	33.0	l
sa	33.0	l
aw	33.0	l
wa	33.0	l
xz	33.0	l
zx	33.0	l
sz	33.0	l
zs	33.0	l
4q	33.0	l
q4	33.0	l
vz	33.0	l
zv	33.0	l
fz	33.0	l
zf	33.0	l
1r	35.0	l
r1	35.0	l
oy	35.0	r
yo	35.0	r
.k	35.0	r
k.	35.0	r
ko	35.0	r
ok	35.0	r
79	35.0	r
97	35.0	r
;k	35.0	r
k;	35.0	r
cs	35.0	l
sc	35.0	l
cz	35.0	l
zc	35.0	l
08	35.0	r
80	35.0	r
ip	35.0	r
pi	35.0	r
mp	35.0	r
pm	35.0	r
07	35.0	r
70	35.0	r
at	35.0	l
ta	35.0	l
gz	35.0	l
zg	35.0	l
ag	35.0	l
ga	35.0	l
3t	35.0	l
t3	35.0	l
.n	35.0	r
n.	35.0	r
;l	35.0	r
l;	35.0	r
[p	35.0	r
p[	35.0	r
'p	35.0	r
p'	35.0	r
ac	37.0	l
ca	37.0	l
2t	37.0	l
t2	37.0	l
3a	37.0	l
a3	37.0	l
pu	37.0	r
up	37.0	r
9j	37.0	r
j9	37.0	r
lu	37.0	r
ul	37.0	r
5w	37.0	l
w5	37.0	l
;h	37.0	r
h;	37.0	r
hk	37.0	r
kh	37.0	r
;o	37.0	r
o;	37.0	r
im	37.0	r
mi	37.0	r
./	37.0	r
/.	37.0	r
,n	37.0	r
n,	37.0	r
/n	37.0	r
n/	37.0	r
0[	40.0	r
[0	40.0	r
'k	40.0	r
k'	40.0	r
[j	40.0	r
j[	40.0	r
[i	40.0	r
i[	40.0	r
'i	40.0	r
i'	40.0	r
'm	40.0	r
m'	40.0	r
[u	40.0	r
u[	40.0	r
'n	42.0	r
n'	42.0	r
',	42.0	r
,'	42.0	r
'j	42.0	r
j'	42.0	r
[m	44.0	r
m[	44.0	r
/l	60.0	r
l/	60.0	r
ez	60.0	l
ze	60.0	l
kp	60.0	r
pk	60.0	r
/k	60.0	r
k/	60.0	r
;u	60.0	r
u;	60.0	r
2e	60.0	l
e2	60.0	l
,/	60.0	r
/,	60.0	r
/j	60.0	r
j/	60.0	r
vw	60.0	l
wv	60.0	l
ev	60.0	l
ve	60.0	l
0y	60.0	r
y0	60.0	r
np	60.0	r
pn	60.0	r
3f	60.0	l
f3	60.0	l
8[	60.0	r
[8	60.0	r
[k	60.0	r
k[	60.0	r
[n	60.0	r
n[	60.0	r
[h	60.0	r
h[	60.0	r
[o	60.0	r
o[	60.0	r
'u	60.0	r
