コンポジション#3

適応度:	1.359877107799956E7
総チャンク数:	48105908

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12132327
2打鍵チャンク:	8184547
3打鍵チャンク:	1496078
4打鍵チャンク:	103192

チャンク頻度
w	2940624
i	2590775
g	2058866
h	1843103
e	1753004
a	1727007
o	1652286
j	1574115
3	1516363
m	1272382
z	1242859
0	1105747
l	1031328
p	872053
8	858664
aw	773351
k	688570
f	662580
x	598083
,	581627
.	572935
/	568630
t	519252
oi	504419
d	503683
5	490989
n	490317
dw	485179
r	470191
4	454639
v	437737
9	429358
tw	422851
s	397030
q	396894
b	393294
y	344224
c	309096
zw	295089
;	284338
1	255803
u	251879
no	249450
ij	242331
at	220829
vw	214406
a3	192500
7	188108
k;	184011
ga	170555
li	163808
ih	145332
2	135909
gd	134405
ge	127468
eg	125766
oi;	118606
h8	117180
io	116523
wf	114952
wv	104839
3a	103670
we	98769
wg	97249
qg	96591
gz	94998
awt	93645
moi	92271
h0	88471
ip	88222
wa	87666
ho	87580
mo	85013
joi	80718
j0	80251
xg	79542
zg	77743
80	77621
im	76957
st	76538
in	73984
jo	70828
4w	70037
ze	70001
fw	69837
m0	68020
;i	64304
/j	63629
wd	62188
rs	60353
dz	60245
gaw	59901
hl	57749
fa	55803
jl	52608
hoi	52442
ml	52250
f3	51835
gq	51616
i0	50946
/ij	50819
il	48175
k/j	47489
0n	42061
ef	41998
0j	40618
iy	40022
ko	39182
i/	38702
xz	38314
j/	37490
ae	37257
k/	36742
wt	36652
vd	36167
awe	35371
zx	35211
ea	35172
,.	34817
i;	33763
h;	33421
uo	31479
m/	31400
h9	31248
m.	30328
da	30009
8o	29921
0m	28667
mk	28618
ag	28294
w5	27835
fe	27829
moi;	27760
oj	27699
jp	27497
lj	27111
iu	26644
08	26620
awd	26416
3f	25644
se	25403
89	25389
gw	25048
5aw	24737
r3	24577
zs	24454
;o	24372
a5	24273
j;	24023
kn	23420
/i	22875
ino	22342
sa	22260
es	22194
dwv	22158
gx	21939
lij	21837
joi;	21614
13	20966
98	20686
hk	20340
fs	20003
zf	19705
gs	19549
mp	19260
fq	19219
.j	18795
nl	18689
oij	18682
fd	18554
qf	18349
9y	18325
2e	18304
pm	18142
ijo	18132
fz	17710
j9	17474
sz	17417
vwa	17415
ez	17372
5a	17297
pj	17120
ar	17119
wr	16711
hoi;	16681
;m	16678
dg	16551
ega	16165
u8	15228
jk	15159
ba	14702
cz	14650
af	14348
ijl	14087
wfa	14081
kj	14014
vwd	13781
,;	13775
mli	13297
awg	13257
av	13220
8;	12923
up	12695
ln	12555
j/i	12441
re	12277
atw	12235
km	12167
m,	12152
l/	11991
qe	11964
;k	11711
sv	11671
h80	11562
lk	11492
wga	11490
jli	11352
ca	11020
n9	10991
9j	10971
m;	10753
ok	10425
u0	10407
rz	10392
3t	10233
xf	10137
pk	10107
om	9935
53	9888
/n	9736
zd	9718
sr	9612
fwa	9322
gdz	9270
,m	9044
kno	8985
egz	8864
awv	8853
gzw	8849
iho	8814
;h	8738
fwe	8663
,/	8592
l;i	8350
ij0	8232
q5	8101
15	7990
./	7585
dzg	7502
eq	7498
ad	7410
kl	7372
y8	7322
iuo	7142
zr	7087
va	7042
kh	7002
faw	6823
awf	6750
n/	6745
ij/	6716
e2	6538
ra	6524
y0	6514
qd	6454
pu	6444
uli	6364
raw	6125
ta	6105
df	6089
rq	6076
fx	6006
w4	5983
35	5971
zv	5936
waf	5866
uoi	5777
fzw	5735
dwa	5654
efa	5573
hli	5474
.k	5454
o8	5418
aw5	5416
ok;	5327
as	5315
xb	5291
3r	5271
rw	5189
8h	5085
lin	5074
l;	5040
k;m	4936
n0	4893
.n	4832
vx	4830
dq	4812
5q	4749
vz	4660
0h	4548
wfe	4472
yoi	4384
.,	4379
oim	4327
wvd	4311
te	4274
1r	4265
q3	4232
;oi	4216
twa	4212
zb	4180
dvw	4099
etw	4020
3fq	3923
vdz	3894
fa3	3884
awr	3880
ztw	3865
;,	3794
fwd	3782
j.	3714
weg	3697
ul	3690
wge	3685
31	3670
sg	3655
sf	3641
nok	3640
fdw	3637
ih;	3613
oy	3612
eag	3561
y9	3539
3fa	3530
9u	3526
gez	3413
zsr	3334
imo	3316
gze	3297
o;	3284
;moi	3268
;l	3232
avw	3230
;8	3226
3q	3147
.m	3142
gda	3108
cv	3100
er	3092
wag	3064
tq	3022
ac	2999
twe	2969
zeg	2963
5a3	2924
hi	2923
ij;	2918
bz	2914
rsz	2895
h98	2887
h8o	2866
aweg	2854
rse	2849
0y	2843
egaw	2826
;im	2818
kp	2798
ab	2768
vaw	2765
sd	2727
wat	2721
vzw	2718
ioj	2716
8y	2705
ijp	2674
egq	2650
ih0	2620
lm	2572
zvw	2561
wef	2543
zc	2528
fwea	2522
ipj	2521
fse	2425
43	2393
ihl	2365
/in	2360
zxg	2347
lh	2315
ate	2300
erq	2273
f2	2240
3at	2238
a3t	2217
gawe	2210
seg	2195
wdf	2184
efz	2173
/k	2164
23	2154
0u	2147
m/i	2127
;j	2109
u;	2099
h8;	2097
52	2088
/jl	2079
qge	2079
on	2062
i0j	2058
iom	2053
;joi	2026
lu	1992
im0	1958
lim	1933
j;i	1893
78	1852
taw	1851
70	1848
tz	1820
u;i	1804
;in	1798
oh	1781
iup	1766
nok;	1765
ilj	1758
51	1747
h;i	1711
xv	1702
ezg	1683
2f	1675
age	1635
n;	1623
dwf	1621
ast	1618
lkn	1604
oih	1597
fdz	1594
zsf	1589
h89	1564
;n	1553
/m	1545
fda	1543
;li	1540
li;	1535
gae	1521
14	1501
8u	1497
oi;m	1470
oiy	1469
ats	1458
gea	1442
zse	1441
rzw	1413
a3f	1400
eat	1393
vda	1342
i/j	1335
iln	1318
ds	1318
t3	1309
aef	1281
ra3	1240
wda	1236
lk;	1219
32	1219
im/	1185
jko	1179
qt	1175
aeg	1171
/,	1164
li/	1163
i;m	1161
xc	1160
l/ij	1156
ln/	1131
9n	1130
esa	1127
fsa	1115
zfw	1113
25	1082
asv	1070
iml	1061
eaf	1051
efs	1042
vzx	1041
41	1038
ts	1034
fzx	1027
m;o	1016
dga	1012
4q	1009
kmo	1006
l/j	993
h;o	984
bx	980
awef	975
vcz	949
wae	908
i0m	897
k.	891
geaw	884
esz	868
kjo	859
sat	855
zsg	853
gzx	846
m;k	836
efw	826
u80	826
a3r	815
qfd	814
at3	811
gzd	808
zvwd	807
yo	806
w5a	799
nk	799
q4	784
asr	778
efq	775
vc	770
war	766
wea	750
iu0	738
zrs	733
35a	728
awte	725
dfw	722
no;	721
in/	718
;ij	702
r2	702
,/n	700
wfd	693
79	691
mk/	666
qr	665
fsz	656
awre	654
ou	653
ml/	650
l;k	643
gwa	630
o;h	615
sc	612
res	598
.j/	594
km.	594
rea	593
hlk	588
lj/	586
;h8	583
jlk	573
afw	569
rze	566
jl/	566
eqg	566
;u	563
lj;	563
ers	558
34	552
imp	542
szg	539
vwda	539
uoi;	538
gezw	537
zdv	534
sega	533
egzw	530
kn;	530
/im	525
hl;	524
zsv	522
m,.	522
wad	514
r1	513
;ih	513
ges	511
zst	507
lh;	506
/l	502
,m/	501
gxz	498
oj;	494
zsd	494
dgz	489
l/in	476
89y	475
r3a	469
;hl	466
u8o	465
rae	464
jl;	462
esg	461
;no	457
khl	455
xgz	443
zgd	440
fze	439
zef	436
aer	436
zfe	428
l/i	426
oin	423
sre	421
;ml	412
zge	411
ojk	411
oiu	411
dzf	410
egs	408
gsa	407
zvd	403
sta	401
kjl	400
sra	398
kj;	396
daf	393
dag	388
qeg	386
;on	383
i0n	379
mlk	375
ta3	373
/jk	372
fae	370
/li	365
est	365
h08	359
;hoi	355
ipm	352
8ho	351
gzs	347
wa5	347
iln/	346
h;oi	345
sar	342
agd	333
af3	332
dv	332
h;k	315
m./	314
qfe	313
y80	312
gad	310
u8;	307
zer	307
km/	307
i;j	304
sze	303
zfwe	300
,.n	299
sva	298
lih	294
i;h	293
rqe	293
cx	292
esr	291
geq	290
i/n	290
o8;	285
mko	285
;lij	282
il/	280
j;k	276
sea	273
are	268
gse	268
lij/	268
;ino	268
fawe	267
l;h	264
in0	263
wega	263
8h9	257
mli;	256
iul	255
fzs	252
k;h	246
9h	246
t2	243
iu;	242
wre	242
gsz	241
im;	240
lhk	239
afe	239
l;im	237
lij;	237
u9	233
xzf	233
wefa	230
2r	230
,./	227
in;	227
l;n	227
dqf	226
qef	222
;mo	222
fzd	222
3ra	222
sfa	220
okn	217
awge	216
/jli	215
sef	211
kml	207
oi;n	205
u;o	204
3qf	200
cs	199
gwe	197
80y	196
esf	195
kh;	194
awfe	193
ste	192
pmk	191
89u	191
/kn	189
m,/	188
ipu	187
awvd	186
dzv	186
ml;	183
avwd	179
y8o	178
il;	176
wva	176
9y8	174
tzw	173
ml;i	171
sez	168
2f3	166
vxz	165
08y	164
kj/	164
wage	161
l;in	158
;iu	158
zfd	157
ljk	157
2re	155
1r3	155
fxz	155
dfa	148
fea	148
dfz	148
zxb	146
780	146
inl	144
pkj	144
fez	144
zfs	143
k.j	142
gqe	141
xcz	138
rez	137
h;l	136
wdv	136
wav	134
j./	131
etwa	131
zdf	130
3a5	130
.k/	130
mo;	130
rq3	129
;mk	128
a35	127
zcv	126
fqe	125
;oj	125
liu	122
ilu	122
tae	121
gds	121
80h	121
zre	118
l/n	118
xzg	117
m;i	117
eatw	116
dav	116
r2e	115
;ho	114
jo;	112
mk;	112
j;l	112
8;h	111
wvda	111
awdf	110
kl/	108
gas	108
m/k	106
fas	105
gsd	104
tsa	104
j;o	103
8h;	103
m.k	102
li;m	100
qf3	99
fad	98
u89	98
zsc	97
ok;m	97
;hk	97
kmp	96
oi;u	95
dfs	94
j;oi	94
oi;j	93
lkj	93
ezf	93
o;k	93
ijl/	93
zdg	92
zxf	92
tse	91
ags	91
erz	89
513	89
sdz	89
r13	88
fwae	87
egzs	87
,/m	87
rawe	86
i;n	86
sav	84
jl/i	84
i0h	84
szr	83
sga	83
ln;	82
tawe	80
n;oi	80
42	80
3af	79
8h0	77
f2e	75
ion	74
sfe	73
omk	73
;kj	73
xfz	69
wte	68
ilh	68
onk	68
wgae	68
u;l	67
ioh	67
km;	67
./j	66
zrse	66
m;li	65
ear	65
vds	65
zetw	65
ase	63
ijl;	63
/.n	62
vwad	62
zseg	61
./n	61
ho8	61
mok	61
iyo	60
rsa	60
/mk	60
zxc	59
segz	59
weag	59
dva	59
afse	59
fqd	59
jli;	58
oij;	58
o;n	57
lk/	57
y89	57
szd	57
.,m	56
o;i	56
xzc	56
/j.	55
/nl	55
srz	54
;kn	54
kjp	53
esat	53
h8;o	53
zxv	53
lin;	53
.mk	52
ar3	52
ef2	52
kl;	51
3rq	51
zgx	49
wafe	49
sae	49
afs	49
xzv	48
i;u	48
jl;k	48
atse	48
dfq	47
;ln	47
io;	47
hkl	47
sge	46
wra	45
ml/i	45
/m.	44
zvx	44
./k	44
h;8	44
89h	44
/lij	44
afwe	43
hl;k	43
l/k	43
dgs	43
134	43
8;u	42
lkn;	42
ioy	42
pjk	42
r23	42
ware	41
;mli	41
o;j	40
tas	40
afd	40
fdq	39
ilh;	39
35q	39
ezr	39
klm	38
;nl	38
sfd	37
/nk	37
feq	37
szf	37
h;io	35
awdv	35
lim/	35
08h	35
rzs	35
gzse	35
mli/	34
vzd	34
3ar	34
j.k	34
dsz	33
lkm	33
vxc	33
k;j	33
wdfa	33
dvwa	33
hli;	32
okn;	32
zfse	32
i/m	32
98u	31
okj	30
hl;i	30
o;in	30
sac	30
wer	29
era	29
hlk;	29
uli;	28
ino;	28
oim;	27
24	27
2t	27
sefa	27
szc	27
vdw	27
sare	27
wafd	26
q3f	26
0h8	25
knl	25
ml;k	25
kno;	25
;kh	24
mkp	24
twae	24
o;m	24
k;no	24
l;j	24
tea	24
wet	24
mkl	24
351	23
lin/	23
teq	23
klh	23
/.	23
adf	22
jk/	22
mlk;	22
fdsz	22
;uo	22
u;8	22
8u;	21
ztwe	21
eszg	21
ars	21
req	21
avd	21
li/j	21
rwa	20
szeg	20
,.m	20
jlk;	20
kpj	20
;hli	20
wdav	20
r31	20
m;l	20
atwe	19
iou	19
e2r	19
fzse	18
dsv	18
li;j	18
ilm	18
98y	18
fawd	18
oi;h	18
gdzs	18
l;ij	17
o8y	17
.kj	16
;ok	16
hi;	16
98h	16
j/l	15
zges	15
fsze	15
/inl	15
il/j	15
;nk	15
zsgd	15
resz	15
mpk	14
m.,	14
seat	14
zfx	14
8o;h	14
q53	13
23t	13
saeg	13
jok	13
gdas	13
fsd	13
ul;	13
lj;i	13
tze	13
agw	13
szer	13
gesz	13
